Unit Price,Customer ID,Customer Name,Customer Segment,Product Category,Product Sub-Category,Product Name,City,Order Weekday,Weekday helper,Profit,Quantity ordered new,Sales,Order ID,Order returned,Order Date
3.23,1,Customer_1,Corporate,Furniture,Office Furnishings,Office Furnishings Product 86,Nitra,Thursday,4,1816.2,9,26.31,84558,False,2018-02-08
388.48,42,Customer_42,Small Business,Office Supplies,Rubber Bands,Rubber Bands Product 82,Bratislava,Sunday,7,1272.7,19,7390.68,95289,False,2017-04-23
148.89,5,Customer_5,Home Office,Technology,Office Machines,Office Machines Product 10,Trenčín,Monday,1,1716.52,10,1491.56,98681,False,2019-06-03
370.87,30,Customer_30,Small Business,Office Supplies,Envelopes,Envelopes Product 78,Trnava,Wednesday,3,771.39,24,8903.45,91830,False,2019-03-27
236.8,48,Customer_48,Home Office,Office Supplies,Rubber Bands,Rubber Bands Product 39,Poprad,Sunday,7,787.8,2,474.16,82450,False,2016-11-20
137.72,19,Customer_19,Corporate,Office Supplies,Pens & Art Supplies,Pens & Art Supplies Product 77,Banská Bystrica,Saturday,6,951.32,7,970.14,84617,False,2016-01-30
115.33,43,Customer_43,Small Business,Office Supplies,Envelopes,Envelopes Product 90,Nitra,Monday,1,65.29,10,1153.57,82722,False,2016-03-07
53.2,2,Customer_2,Home Office,Furniture,Chairs & Chairmats,Chairs & Chairmats Product 24,Banská Bystrica,Thursday,4,1018.55,7,365.46,87556,False,2017-10-19
99.59,16,Customer_16,Small Business,Furniture,Office Furnishings,Office Furnishings Product 94,Trenčín,Saturday,6,1300.95,13,1298.57,82357,False,2017-04-01
214.09,31,Customer_31,Corporate,Furniture,Chairs & Chairmats,Chairs & Chairmats Product 36,Trnava,Friday,5,294.66,20,4289.25,90438,False,2016-10-14
264.95,12,Customer_12,Home Office,Technology,Telephones and Communication,Telephones and Communication Product 15,Trnava,Friday,5,-161.01,23,6085.31,89542,False,2018-04-20
492.27,3,Customer_3,Home Office,Furniture,Chairs & Chairmats,Chairs & Chairmats Product 100,Poprad,Saturday,6,830.59,22,10832.96,96452,False,2019-03-30
416.52,7,Customer_7,Corporate,Office Supplies,Pens & Art Supplies,Pens & Art Supplies Product 63,Trenčín,Saturday,6,1411.83,14,5830.54,81214,False,2019-05-11
200.07,23,Customer_23,Corporate,Technology,Office Machines,Office Machines Product 18,Poprad,Wednesday,3,1757.7,17,3394.45,93299,False,2018-11-14
258.38,38,Customer_38,Home Office,Office Supplies,Rubber Bands,Rubber Bands Product 61,Banská Bystrica,Thursday,4,1310.26,21,5429.79,94662,True,2015-04-30
56.71,10,Customer_10,Corporate,Office Supplies,Envelopes,Envelopes Product 85,Trnava,Wednesday,3,838.89,18,1022.56,93515,False,2015-09-23
9.43,25,Customer_25,Corporate,Technology,Telephones and Communication,Telephones and Communication Product 29,Martin,Thursday,4,985.38,6,56.5,80560,False,2019-08-29
162.1,8,Customer_8,Home Office,Technology,Telephones and Communication,Telephones and Communication Product 75,Nitra,Tuesday,2,651.02,20,3236.13,82077,False,2019-03-19
164.47,40,Customer_40,Small Business,Technology,Telephones and Communication,Telephones and Communication Product 11,Martin,Friday,5,155.81,11,1808.98,86700,False,2015-11-13
159.55,47,Customer_47,Home Office,Furniture,Office Furnishings,Office Furnishings Product 99,Žilina,Tuesday,2,851.56,1,168.09,85481,False,2019-03-05
233.69,49,Customer_49,Home Office,Furniture,Office Furnishings,Office Furnishings Product 56,Trenčín,Sunday,7,1264.32,15,3512.62,85776,False,2019-11-24
319.94,1,Customer_1,Small Business,Furniture,Office Furnishings,Office Furnishings Product 17,Banská Bystrica,Sunday,7,1556.76,17,5447.23,99435,False,2017-09-24
278.74,9,Customer_9,Corporate,Technology,Telephones and Communication,Telephones and Communication Product 75,Poprad,Monday,1,1264.92,9,2514.7,80727,False,2015-12-07
454.27,48,Customer_48,Corporate,Technology,Telephones and Communication,Telephones and Communication Product 81,Banská Bystrica,Friday,5,594.74,2,911.26,85548,False,2019-11-01
322.2,28,Customer_28,Home Office,Office Supplies,Pens & Art Supplies,Pens & Art Supplies Product 92,Trnava,Sunday,7,1715.73,5,1611.14,95707,False,2019-12-29
498.61,30,Customer_30,Corporate,Technology,Telephones and Communication,Telephones and Communication Product 71,Nitra,Friday,5,1851.44,4,1990.37,99501,False,2015-12-04
182.81,47,Customer_47,Small Business,Office Supplies,Rubber Bands,Rubber Bands Product 15,Prešov,Sunday,7,1646.14,10,1818.95,87396,False,2017-05-07
252.54,14,Customer_14,Home Office,Technology,Telephones and Communication,Telephones and Communication Product 31,Nitra,Tuesday,2,241.98,4,1019.52,96683,False,2017-05-02
162.59,46,Customer_46,Home Office,Office Supplies,Envelopes,Envelopes Product 77,Bratislava,Monday,1,-105.51,4,653.29,85024,False,2019-10-14
42.77,17,Customer_17,Small Business,Furniture,Chairs & Chairmats,Chairs & Chairmats Product 88,Banská Bystrica,Thursday,4,1979.86,25,1062.56,99382,False,2016-09-22
73.86,45,Customer_45,Small Business,Technology,Telephones and Communication,Telephones and Communication Product 84,Poprad,Monday,1,720.2,11,813.18,97650,False,2015-03-30
150.83,13,Customer_13,Corporate,Office Supplies,Rubber Bands,Rubber Bands Product 15,Banská Bystrica,Tuesday,2,264.11,6,907.58,87711,False,2015-06-09
178.84,41,Customer_41,Home Office,Technology,Telephones and Communication,Telephones and Communication Product 13,Žilina,Wednesday,3,124.06,9,1602.51,96031,False,2018-09-19
485.51,39,Customer_39,Home Office,Technology,Office Machines,Office Machines Product 33,Trnava,Sunday,7,1341.63,3,1459.58,95496,False,2016-06-12
482.38,41,Customer_41,Home Office,Technology,Office Machines,Office Machines Product 78,Trenčín,Sunday,7,722.68,20,9646.13,86171,False,2019-11-24
387.33,24,Customer_24,Home Office,Technology,Office Machines,Office Machines Product 47,Poprad,Wednesday,3,1660.88,24,9298.41,81808,False,2015-06-10
45.79,21,Customer_21,Corporate,Office Supplies,Pens & Art Supplies,Pens & Art Supplies Product 34,Trenčín,Tuesday,2,1243.2,18,830.63,97671,False,2016-08-02
367.74,44,Customer_44,Small Business,Furniture,Office Furnishings,Office Furnishings Product 15,Prešov,Monday,1,1852.08,10,3668.07,96382,False,2018-04-30
437.33,49,Customer_49,Corporate,Office Supplies,Pens & Art Supplies,Pens & Art Supplies Product 95,Trnava,Sunday,7,1980.56,2,871.4,80150,False,2019-05-26
358.32,43,Customer_43,Home Office,Office Supplies,Rubber Bands,Rubber Bands Product 53,Banská Bystrica,Saturday,6,90.64,14,5007.8,85580,False,2019-10-26
169.41,45,Customer_45,Small Business,Technology,Office Machines,Office Machines Product 90,Trnava,Tuesday,2,1411.89,18,3045.31,88749,False,2017-01-10
411.49,3,Customer_3,Home Office,Office Supplies,Pens & Art Supplies,Pens & Art Supplies Product 41,Nitra,Wednesday,3,356.9,13,5348.57,90256,False,2019-11-13
388.61,6,Customer_6,Home Office,Furniture,Office Furnishings,Office Furnishings Product 97,Nitra,Sunday,7,707.68,25,9716.89,83638,False,2016-07-17
295.29,37,Customer_37,Home Office,Technology,Telephones and Communication,Telephones and Communication Product 33,Martin,Friday,5,124.68,21,6203.37,86844,False,2016-07-15
206.07,49,Customer_49,Small Business,Office Supplies,Envelopes,Envelopes Product 90,Žilina,Tuesday,2,36.23,10,2065.36,94245,False,2019-06-04
202.64,1,Customer_1,Small Business,Furniture,Office Furnishings,Office Furnishings Product 40,Prešov,Thursday,4,1955.55,24,4853.54,95272,False,2017-01-19
361.23,26,Customer_26,Home Office,Furniture,Office Furnishings,Office Furnishings Product 75,Bratislava,Wednesday,3,804.36,2,718.85,97527,False,2015-12-02
53.54,31,Customer_31,Home Office,Furniture,Chairs & Chairmats,Chairs & Chairmats Product 67,Poprad,Thursday,4,1233.31,25,1336.96,93235,False,2018-09-13
246.82,47,Customer_47,Small Business,Furniture,Office Furnishings,Office Furnishings Product 91,Poprad,Monday,1,-62.65,19,4680.77,98979,False,2018-02-05
428.77,3,Customer_3,Home Office,Office Supplies,Envelopes,Envelopes Product 35,Nitra,Sunday,7,5.21,1,430.52,84040,False,2016-01-24
12.81,49,Customer_49,Small Business,Technology,Telephones and Communication,Telephones and Communication Product 38,Žilina,Wednesday,3,403.9,23,302.52,99637,True,2017-03-15
38.25,30,Customer_30,Small Business,Furniture,Office Furnishings,Office Furnishings Product 41,Žilina,Wednesday,3,529.25,9,336.16,87500,False,2019-01-02
205.78,11,Customer_11,Corporate,Office Supplies,Pens & Art Supplies,Pens & Art Supplies Product 94,Martin,Sunday,7,498.24,2,404.65,85764,False,2017-03-19
427.31,1,Customer_1,Corporate,Furniture,Chairs & Chairmats,Chairs & Chairmats Product 82,Prešov,Monday,1,1717.97,13,5562.57,88893,False,2018-01-15
171.48,44,Customer_44,Small Business,Office Supplies,Rubber Bands,Rubber Bands Product 50,Prešov,Wednesday,3,345.77,6,1024.65,93897,False,2015-04-15
304.86,6,Customer_6,Corporate,Office Supplies,Envelopes,Envelopes Product 68,Prešov,Sunday,7,57.6,8,2445.55,81720,False,2019-09-22
286.98,36,Customer_36,Small Business,Technology,Office Machines,Office Machines Product 33,Prešov,Tuesday,2,433.8,19,5456.6,82720,True,2017-08-01
274.05,39,Customer_39,Corporate,Furniture,Chairs & Chairmats,Chairs & Chairmats Product 87,Poprad,Monday,1,115.93,12,3297.64,98262,False,2016-05-30
71.69,13,Customer_13,Small Business,Office Supplies,Rubber Bands,Rubber Bands Product 34,Trnava,Saturday,6,967.07,16,1139.07,84727,False,2018-11-17
264.04,3,Customer_3,Corporate,Furniture,Office Furnishings,Office Furnishings Product 38,Žilina,Saturday,6,585.1,12,3161.08,90148,False,2015-05-16
215.67,34,Customer_34,Corporate,Furniture,Chairs & Chairmats,Chairs & Chairmats Product 97,Košice,Thursday,4,1573.16,1,218.9,98753,False,2019-04-25
261.0,50,Customer_50,Corporate,Furniture,Chairs & Chairmats,Chairs & Chairmats Product 63,Banská Bystrica,Monday,1,270.89,15,3924.98,92922,False,2016-02-15
110.61,19,Customer_19,Home Office,Office Supplies,Envelopes,Envelopes Product 46,Košice,Monday,1,878.49,14,1544.13,98474,False,2016-02-08
458.06,8,Customer_8,Corporate,Technology,Office Machines,Office Machines Product 5,Košice,Sunday,7,811.96,7,3203.78,85762,False,2016-11-20
412.85,32,Customer_32,Small Business,Furniture,Chairs & Chairmats,Chairs & Chairmats Product 57,Košice,Wednesday,3,1228.32,1,409.98,84225,False,2015-06-17
92.38,22,Customer_22,Corporate,Technology,Telephones and Communication,Telephones and Communication Product 99,Prešov,Friday,5,1620.03,24,2223.18,89794,False,2016-11-18
107.88,26,Customer_26,Small Business,Technology,Office Machines,Office Machines Product 39,Trenčín,Friday,5,87.65,1,106.56,93388,False,2015-05-22
287.8,15,Customer_15,Home Office,Office Supplies,Pens & Art Supplies,Pens & Art Supplies Product 83,Banská Bystrica,Sunday,7,1244.35,16,4613.01,85087,False,2017-04-02
220.55,43,Customer_43,Corporate,Technology,Office Machines,Office Machines Product 43,Košice,Friday,5,541.45,7,1548.09,92146,False,2017-07-07
390.6,31,Customer_31,Corporate,Technology,Office Machines,Office Machines Product 29,Prešov,Wednesday,3,880.3,2,776.65,97703,False,2018-07-25
209.62,46,Customer_46,Home Office,Office Supplies,Rubber Bands,Rubber Bands Product 93,Bratislava,Tuesday,2,1132.42,19,3988.56,81893,True,2015-09-15
121.02,40,Customer_40,Small Business,Office Supplies,Envelopes,Envelopes Product 91,Martin,Saturday,6,1649.22,8,971.2,81312,False,2017-05-27
377.51,35,Customer_35,Corporate,Furniture,Chairs & Chairmats,Chairs & Chairmats Product 78,Nitra,Monday,1,1622.88,19,7179.87,98962,False,2018-09-17
130.5,31,Customer_31,Corporate,Office Supplies,Rubber Bands,Rubber Bands Product 15,Banská Bystrica,Monday,1,1913.92,23,3005.74,83081,False,2019-03-18
288.91,3,Customer_3,Corporate,Office Supplies,Rubber Bands,Rubber Bands Product 27,Trnava,Tuesday,2,162.09,21,6066.83,96976,False,2019-12-17
430.9,27,Customer_27,Small Business,Office Supplies,Rubber Bands,Rubber Bands Product 93,Nitra,Wednesday,3,1640.29,15,6458.92,96307,False,2018-11-14
86.31,14,Customer_14,Small Business,Furniture,Office Furnishings,Office Furnishings Product 64,Prešov,Monday,1,213.09,9,778.83,83748,False,2019-12-16
167.1,31,Customer_31,Small Business,Furniture,Chairs & Chairmats,Chairs & Chairmats Product 51,Bratislava,Sunday,7,1422.83,23,3849.26,81816,False,2016-11-13
130.26,48,Customer_48,Home Office,Furniture,Chairs & Chairmats,Chairs & Chairmats Product 75,Košice,Tuesday,2,330.85,6,778.39,99250,False,2015-06-16
389.61,32,Customer_32,Home Office,Furniture,Office Furnishings,Office Furnishings Product 52,Žilina,Monday,1,269.18,1,384.99,98906,False,2017-07-03
336.0,42,Customer_42,Corporate,Office Supplies,Envelopes,Envelopes Product 10,Nitra,Saturday,6,128.03,3,1016.84,93200,False,2019-11-30
339.94,49,Customer_49,Home Office,Technology,Office Machines,Office Machines Product 98,Bratislava,Sunday,7,328.52,6,2048.89,91936,False,2019-07-28
372.11,34,Customer_34,Small Business,Furniture,Chairs & Chairmats,Chairs & Chairmats Product 37,Prešov,Thursday,4,1430.39,19,7066.69,81204,False,2019-05-02
450.24,34,Customer_34,Corporate,Furniture,Chairs & Chairmats,Chairs & Chairmats Product 96,Košice,Wednesday,3,325.19,25,11260.56,96680,False,2018-05-16
201.65,29,Customer_29,Small Business,Technology,Telephones and Communication,Telephones and Communication Product 33,Trnava,Tuesday,2,503.05,21,4225.05,80656,True,2015-10-20
39.23,12,Customer_12,Corporate,Technology,Telephones and Communication,Telephones and Communication Product 54,Trnava,Sunday,7,395.66,18,710.66,85739,False,2018-09-09
60.68,13,Customer_13,Small Business,Technology,Telephones and Communication,Telephones and Communication Product 63,Nitra,Monday,1,1367.35,21,1268.21,84890,False,2017-01-30
24.78,24,Customer_24,Small Business,Office Supplies,Rubber Bands,Rubber Bands Product 86,Prešov,Wednesday,3,1566.65,13,314.43,87118,False,2018-10-24
133.87,6,Customer_6,Small Business,Technology,Office Machines,Office Machines Product 20,Nitra,Sunday,7,1983.02,8,1077.19,99729,False,2016-08-28
263.96,2,Customer_2,Home Office,Technology,Office Machines,Office Machines Product 63,Trenčín,Wednesday,3,1143.69,1,264.6,96338,False,2017-05-03
163.48,34,Customer_34,Home Office,Office Supplies,Rubber Bands,Rubber Bands Product 43,Trenčín,Monday,1,1988.6,14,2291.2,86741,False,2019-10-21
196.72,15,Customer_15,Small Business,Office Supplies,Envelopes,Envelopes Product 50,Bratislava,Saturday,6,1487.19,13,2550.92,89153,False,2015-02-07
22.73,22,Customer_22,Home Office,Office Supplies,Pens & Art Supplies,Pens & Art Supplies Product 4,Košice,Thursday,4,418.37,23,514.1,86198,False,2017-11-02
76.79,24,Customer_24,Corporate,Office Supplies,Envelopes,Envelopes Product 57,Trenčín,Thursday,4,866.8,11,838.77,82934,False,2016-07-21
313.45,17,Customer_17,Corporate,Technology,Telephones and Communication,Telephones and Communication Product 62,Banská Bystrica,Tuesday,2,723.89,9,2822.29,92339,False,2015-01-20
402.7,17,Customer_17,Small Business,Technology,Telephones and Communication,Telephones and Communication Product 100,Prešov,Friday,5,-91.83,2,805.59,86652,False,2019-09-13
183.36,28,Customer_28,Small Business,Furniture,Chairs & Chairmats,Chairs & Chairmats Product 72,Nitra,Friday,5,1747.79,23,4220.18,91746,False,2015-05-22
40.69,46,Customer_46,Home Office,Furniture,Chairs & Chairmats,Chairs & Chairmats Product 16,Martin,Sunday,7,778.62,13,524.03,81650,False,2015-10-11
360.86,49,Customer_49,Small Business,Office Supplies,Envelopes,Envelopes Product 94,Žilina,Wednesday,3,835.25,13,4699.21,91206,False,2015-05-06
68.3,43,Customer_43,Small Business,Office Supplies,Rubber Bands,Rubber Bands Product 96,Banská Bystrica,Wednesday,3,1120.01,10,673.3,93298,False,2019-03-20
156.41,38,Customer_38,Small Business,Office Supplies,Rubber Bands,Rubber Bands Product 27,Bratislava,Monday,1,1557.0,7,1101.38,91304,False,2017-08-21
374.48,48,Customer_48,Home Office,Technology,Office Machines,Office Machines Product 75,Trnava,Saturday,6,67.03,20,7495.04,83746,False,2019-04-20
321.49,40,Customer_40,Corporate,Furniture,Office Furnishings,Office Furnishings Product 29,Košice,Friday,5,615.15,19,6105.71,98553,False,2019-11-29
310.55,41,Customer_41,Home Office,Furniture,Chairs & Chairmats,Chairs & Chairmats Product 99,Trenčín,Wednesday,3,457.14,17,5275.87,91182,False,2015-09-23
64.82,11,Customer_11,Small Business,Technology,Office Machines,Office Machines Product 20,Prešov,Friday,5,1084.34,7,446.74,83959,True,2017-03-10
70.27,30,Customer_30,Small Business,Technology,Telephones and Communication,Telephones and Communication Product 93,Poprad,Saturday,6,1502.59,2,144.5,97545,False,2016-08-27
162.39,1,Customer_1,Corporate,Office Supplies,Rubber Bands,Rubber Bands Product 49,Žilina,Friday,5,543.43,11,1786.91,82637,False,2019-02-22
263.13,47,Customer_47,Small Business,Office Supplies,Pens & Art Supplies,Pens & Art Supplies Product 19,Poprad,Monday,1,335.21,2,526.34,95055,False,2015-07-13
296.66,7,Customer_7,Small Business,Technology,Telephones and Communication,Telephones and Communication Product 68,Košice,Tuesday,2,1232.26,13,3848.25,81543,True,2018-08-21
355.39,36,Customer_36,Small Business,Technology,Telephones and Communication,Telephones and Communication Product 61,Poprad,Monday,1,1674.19,23,8177.57,98424,False,2019-09-16
415.85,3,Customer_3,Home Office,Furniture,Chairs & Chairmats,Chairs & Chairmats Product 34,Prešov,Tuesday,2,59.74,9,3743.36,92396,False,2019-07-09
368.54,5,Customer_5,Home Office,Technology,Telephones and Communication,Telephones and Communication Product 73,Martin,Sunday,7,1539.93,11,4048.71,80954,False,2016-10-23
433.28,18,Customer_18,Corporate,Furniture,Chairs & Chairmats,Chairs & Chairmats Product 56,Žilina,Monday,1,-62.21,22,9527.58,92129,False,2016-12-12
417.67,28,Customer_28,Home Office,Technology,Office Machines,Office Machines Product 91,Bratislava,Thursday,4,1056.69,15,6270.47,82153,False,2019-01-03
364.25,44,Customer_44,Corporate,Furniture,Office Furnishings,Office Furnishings Product 67,Nitra,Sunday,7,1977.05,3,1098.04,80111,False,2019-06-30
362.42,21,Customer_21,Small Business,Furniture,Chairs & Chairmats,Chairs & Chairmats Product 24,Trenčín,Monday,1,953.56,23,8331.04,90622,False,2018-11-19
300.3,20,Customer_20,Home Office,Office Supplies,Pens & Art Supplies,Pens & Art Supplies Product 22,Poprad,Saturday,6,921.3,9,2712.11,86974,False,2018-02-10
370.71,37,Customer_37,Small Business,Technology,Office Machines,Office Machines Product 69,Trnava,Saturday,6,1984.57,3,1118.68,93154,False,2016-03-26
267.35,2,Customer_2,Home Office,Office Supplies,Envelopes,Envelopes Product 60,Poprad,Friday,5,1364.03,13,3472.31,83888,False,2019-03-15
177.33,35,Customer_35,Small Business,Office Supplies,Rubber Bands,Rubber Bands Product 50,Prešov,Saturday,6,1537.26,15,2654.17,94205,False,2019-06-08
98.78,13,Customer_13,Small Business,Furniture,Office Furnishings,Office Furnishings Product 90,Prešov,Thursday,4,1988.16,13,1275.36,91094,False,2015-06-18
260.55,41,Customer_41,Corporate,Office Supplies,Rubber Bands,Rubber Bands Product 35,Nitra,Tuesday,2,1755.43,16,4171.33,96574,False,2018-05-15
491.64,32,Customer_32,Small Business,Furniture,Chairs & Chairmats,Chairs & Chairmats Product 24,Trnava,Tuesday,2,197.01,15,7372.03,84219,False,2017-08-08
213.2,13,Customer_13,Small Business,Office Supplies,Envelopes,Envelopes Product 15,Žilina,Friday,5,1647.26,12,2549.63,85364,False,2018-08-10
297.24,4,Customer_4,Corporate,Furniture,Office Furnishings,Office Furnishings Product 38,Prešov,Friday,5,1743.02,3,896.24,99594,False,2018-11-23
21.69,19,Customer_19,Home Office,Furniture,Office Furnishings,Office Furnishings Product 77,Bratislava,Friday,5,1533.24,20,435.63,84188,False,2017-12-29
359.52,28,Customer_28,Small Business,Furniture,Office Furnishings,Office Furnishings Product 70,Trnava,Friday,5,714.61,18,6463.61,99942,False,2016-01-29
193.62,23,Customer_23,Home Office,Technology,Office Machines,Office Machines Product 66,Martin,Sunday,7,1663.73,18,3486.06,90628,False,2015-08-09
117.27,31,Customer_31,Corporate,Office Supplies,Envelopes,Envelopes Product 32,Poprad,Sunday,7,1249.92,22,2578.07,82933,False,2016-12-25
45.12,48,Customer_48,Corporate,Technology,Telephones and Communication,Telephones and Communication Product 24,Bratislava,Thursday,4,-46.01,12,543.47,83578,False,2019-05-23
159.63,2,Customer_2,Corporate,Office Supplies,Envelopes,Envelopes Product 63,Prešov,Saturday,6,1845.44,21,3360.85,94091,False,2017-04-29
243.08,33,Customer_33,Corporate,Office Supplies,Envelopes,Envelopes Product 93,Nitra,Friday,5,668.07,21,5095.79,83246,False,2019-07-05
194.73,3,Customer_3,Home Office,Office Supplies,Rubber Bands,Rubber Bands Product 1,Banská Bystrica,Saturday,6,1987.29,25,4862.52,82461,False,2019-05-18
99.6,6,Customer_6,Corporate,Office Supplies,Pens & Art Supplies,Pens & Art Supplies Product 23,Poprad,Tuesday,2,519.01,12,1193.54,97800,False,2015-03-31
419.79,21,Customer_21,Corporate,Office Supplies,Pens & Art Supplies,Pens & Art Supplies Product 68,Trenčín,Tuesday,2,-146.56,7,2946.39,97980,False,2016-05-17
407.3,15,Customer_15,Home Office,Technology,Telephones and Communication,Telephones and Communication Product 80,Poprad,Saturday,6,1412.1,1,398.75,86938,False,2019-02-23
200.09,35,Customer_35,Home Office,Technology,Office Machines,Office Machines Product 96,Poprad,Sunday,7,1765.63,1,192.95,94508,True,2015-05-31
293.73,40,Customer_40,Corporate,Technology,Telephones and Communication,Telephones and Communication Product 9,Banská Bystrica,Thursday,4,483.85,9,2648.26,84153,False,2015-06-11
99.95,39,Customer_39,Corporate,Furniture,Office Furnishings,Office Furnishings Product 38,Banská Bystrica,Wednesday,3,1924.41,25,2491.63,97504,False,2017-11-01
448.44,24,Customer_24,Small Business,Technology,Telephones and Communication,Telephones and Communication Product 94,Banská Bystrica,Monday,1,1843.81,14,6284.04,92210,False,2017-09-11
394.97,42,Customer_42,Small Business,Technology,Office Machines,Office Machines Product 85,Banská Bystrica,Monday,1,610.9,21,8299.38,90011,False,2015-06-15
280.58,48,Customer_48,Home Office,Office Supplies,Envelopes,Envelopes Product 12,Bratislava,Sunday,7,750.75,16,4491.71,86677,False,2018-07-22
135.17,7,Customer_7,Small Business,Technology,Office Machines,Office Machines Product 60,Bratislava,Monday,1,1918.29,5,674.16,93253,False,2017-10-23
301.88,38,Customer_38,Small Business,Furniture,Office Furnishings,Office Furnishings Product 61,Poprad,Monday,1,50.17,5,1505.45,98415,False,2018-02-05
62.1,20,Customer_20,Corporate,Technology,Office Machines,Office Machines Product 12,Trenčín,Friday,5,1428.05,8,506.08,93049,False,2018-04-06
184.46,21,Customer_21,Corporate,Office Supplies,Rubber Bands,Rubber Bands Product 49,Banská Bystrica,Monday,1,1931.85,3,556.65,93003,False,2019-07-08
459.14,49,Customer_49,Home Office,Technology,Telephones and Communication,Telephones and Communication Product 53,Banská Bystrica,Wednesday,3,1778.6,14,6418.75,94019,False,2018-12-12
224.9,48,Customer_48,Home Office,Furniture,Chairs & Chairmats,Chairs & Chairmats Product 18,Trenčín,Monday,1,1583.92,3,680.51,83541,False,2016-07-04
142.35,6,Customer_6,Small Business,Technology,Office Machines,Office Machines Product 91,Trenčín,Friday,5,1466.31,20,2838.02,83743,False,2019-08-09
149.26,34,Customer_34,Corporate,Furniture,Chairs & Chairmats,Chairs & Chairmats Product 11,Nitra,Wednesday,3,1973.21,7,1036.91,82612,False,2015-09-16
419.29,25,Customer_25,Corporate,Office Supplies,Pens & Art Supplies,Pens & Art Supplies Product 99,Žilina,Tuesday,2,156.37,11,4611.74,80642,False,2016-06-21
446.44,42,Customer_42,Home Office,Technology,Telephones and Communication,Telephones and Communication Product 21,Trnava,Friday,5,973.32,7,3122.57,93161,False,2016-12-23
164.65,19,Customer_19,Corporate,Furniture,Chairs & Chairmats,Chairs & Chairmats Product 95,Prešov,Wednesday,3,1253.41,5,831.92,81029,False,2017-07-05
